6,0,8
15,1,7
20,1,7
31,0,6
40,1,6
45,1,6
46,0,8
49,0,6
53,1,7
66,2,7
68,1,6
77,0,8
95,2,6
99,1,6
102,2,6
106,1,9
107,2,8
118,1,6
121,0,8
126,0,8
127,2,6
130,2,6
135,0,8
136,1,6
138,2,7
151,2,6
154,2,8
155,1,9
157,0,7
168,2,7
169,0,6
179,2,8
183,2,9
197,0,8
199,0,8
201,1,9
203,2,9
204,0,7
205,0,7
209,0,6
210,2,6
211,2,8
214,0,8
215,0,7
227,1,6
233,1,6
243,2,8
245,0,9
249,0,8
255,1,9
262,2,6
267,0,9
269,0,7
270,0,9
277,1,7
288,1,8
290,0,8
295,2,8
298,0,7
300,1,7
322,1,8
323,2,6
330,1,9
331,0,7
343,1,6
351,2,9
352,0,9
354,0,6
370,0,6
373,2,7
376,0,7
378,2,6
387,1,6
393,1,7
402,1,9
407,2,7
408,1,7
410,0,9
412,2,6
414,0,6
419,1,8
429,0,6
435,1,8
436,2,7
456,1,8
458,0,8
467,0,7
473,0,6
474,1,8
478,1,9
482,0,6
486,0,9
491,0,8
501,2,9
506,1,9
513,1,8
516,0,7
525,1,9
526,2,9
532,0,7
535,2,7
544,2,8
555,2,8
556,2,8
565,0,9
572,0,7
578,1,8
579,2,8
582,1,8
584,1,7
591,2,7
598,0,8
615,0,7
616,0,9
621,0,6
624,2,7
627,2,6
635,1,9
641,0,7
650,2,7
652,2,9
654,0,9
656,2,9
661,0,7
663,0,7
665,1,9
668,0,7
675,0,7
681,2,9
685,0,7
694,1,7
699,1,6
703,1,9
704,2,6
705,2,8
706,1,8
710,0,6
715,2,7
717,1,9
719,0,6
723,2,9
724,1,6
725,0,9
738,2,9
740,1,7
741,1,9
742,1,7
767,2,7
770,1,7
774,1,9
811,2,8
813,1,7
818,1,9
820,1,7
831,1,6
832,0,6
834,0,7
837,0,9
849,1,8
850,0,6
851,1,8
853,0,7
859,0,7
863,0,9
864,0,9
869,1,9
873,1,6
875,1,9
876,2,6
878,2,7
879,2,8
880,2,7
890,1,6
891,0,8
892,2,9
895,1,6
906,1,7
907,0,7
911,1,7
919,2,8
921,0,7
922,2,8
930,2,9
932,1,8
934,0,6
937,2,6
947,1,6
948,0,6
955,1,8
959,2,9
965,2,8
977,2,8
980,1,6
981,1,9
987,1,7
992,1,8
1003,0,7
1011,2,8
1012,0,6
1015,1,8
1020,0,6
1021,1,8
1026,1,6
1028,0,7
1032,0,9
1035,1,6
1040,2,6
1041,1,6
1042,1,7
1046,0,6
1047,1,9
1048,1,9
1049,1,6
1050,1,6
1054,2,9
1055,2,9
1058,1,7
1060,2,9
1068,0,6
1071,1,7
1074,2,7
1077,0,8
1091,1,6
1095,0,9
1106,2,8
1110,0,6
1115,1,6
1124,2,6
1126,0,6
1135,2,8
1140,1,7
1146,0,9
1152,2,8
1153,2,6
1165,0,7
1166,1,9
1176,1,8
1200,0,9
1201,1,7
1211,1,7
1213,1,7
1216,2,6
1224,1,7
1225,0,7
1237,2,9
1239,0,8
1244,2,7
1247,1,6
1252,1,7
1258,1,9
1259,1,9
1260,0,8
1263,0,6
1271,0,9
1272,1,7
1292,0,9
1306,0,6
1307,1,9
1315,1,9
1319,2,7
1325,2,9
1327,0,9
1333,2,7
1335,2,7
1345,0,6
1353,2,9
1354,0,7
1357,1,8
1361,0,9
1363,1,8
1387,1,9
1389,0,6
1394,2,9
1397,1,8
1408,1,7
1416,2,9
1423,0,8
1428,0,8
1436,2,6
1437,0,7
1438,2,9
1439,1,9
1443,2,8
1451,2,8
1460,0,9
1483,1,8
1486,1,7
1492,2,6
1494,2,7
1496,1,8
1497,2,6
1499,1,8
1501,0,8
1503,1,9
1509,0,8
1517,0,8
1522,2,8
1525,1,9
1526,1,7
1528,1,6
1530,0,6
1533,1,9
1540,0,6
1541,0,8
1543,0,7
1557,1,9
1558,2,9
1572,2,7
1586,1,6
1595,1,8
1599,2,6
1606,0,9
1607,1,9
1608,1,7
1620,0,8
1627,1,7
1633,0,8
1639,0,6
1643,1,7
1655,1,7
1656,1,8
1660,0,7
1673,2,7
1682,2,7
1683,2,7
1690,2,6
1695,2,7
1701,1,6
1705,0,9
1708,2,7
1715,0,6
1722,2,6
1726,0,9
1728,1,8
1732,2,8
1738,0,9
1739,1,6
1744,1,8
1757,0,6
1758,1,9
1765,1,8
1772,2,7
1776,1,7
1795,1,6
1817,1,8
1818,1,8
1824,1,8
1828,2,8
1832,2,9
1834,1,6
1840,0,6
1841,0,7
1844,1,7
1846,1,6
1858,1,8
1870,0,6
1872,0,8
1877,1,9
1890,0,9
1902,0,7
1909,2,8
1913,1,6
1914,2,7
1930,1,8
1947,2,7
1950,2,6
1952,0,7
1954,0,6
1957,1,8
1969,1,8
1978,2,8
1981,0,7
1986,1,6
1994,0,7
1997,1,7
1998,0,9
1999,1,6
2008,0,6
2012,2,8
2024,0,8
2025,2,7
2030,1,9
2032,0,7
2039,2,6
2069,2,7
2072,2,6
2074,0,8
2080,1,6
2087,1,6
2089,2,9
2101,2,7
2104,0,6
2107,1,8
2121,1,9
2133,2,9
2140,1,7
2147,1,7
2149,1,9
2151,2,9
2154,0,6
2165,1,9
2177,1,9
2178,1,7
2210,0,7
2214,0,9
2215,0,8
2220,1,7
2221,1,7
2225,1,9
2242,2,7
2255,1,9
2264,2,9
2265,2,8
2271,0,8
2273,1,7
2279,1,8
2284,0,6
2288,2,7
2294,1,6
2297,1,7
2312,0,9
2314,1,8
2315,0,9
2318,2,6
2321,0,7
2331,2,7
2339,2,6
2346,0,9
2347,2,6
2348,0,9
2353,0,7
2354,2,6
2361,2,9
2362,1,9
2363,1,7
2370,0,9
2376,0,8
2381,0,8
2387,1,8
2391,1,6
2392,1,7
2401,2,9
2402,2,8
2410,1,6
2418,1,9
2426,1,6
2430,1,9
2437,1,8
2440,2,7
2444,1,7
2448,2,7
2449,1,7
2458,0,6
2466,1,8
2479,2,7
2486,0,7
2491,0,8
2496,0,6
2517,1,7
2518,1,8
